ms,seg,mouseX,mouseY,L,T,R,B,W,H
2805,right-R2,2557,671,2050,476,2560,866,510,390
2821,right-R2,2557,723,2050,476,2560,866,510,390
2836,right-R2,2557,774,2050,579,2560,969,510,390
2852,right-R2,2557,826,2050,579,2560,969,510,390
2866,right-R2,2557,877,2050,682,2560,1072,510,390
2883,right-R2,2557,929,2050,682,2560,1072,510,390
2898,right-R2,2557,980,2050,785,2560,1175,510,390
2914,right-R2,2557,1031,2050,785,2560,1175,510,390
2929,right-R2,2557,1083,2050,888,2560,1278,510,390
2945,right-R2,2557,1134,2050,888,2560,1278,510,390
2960,right-R2,2557,1186,2050,991,2560,1381,510,390
2976,right-R2,2557,1237,2050,991,2560,1381,510,390
2991,right-R2,2557,1288,2050,1093,2560,1483,510,390
3007,right-R2,2557,1340,2050,1145,2560,1535,510,390
3021,right-R2,2557,1391,2050,1145,2560,1535,510,390
3037,right-R2,2557,1443,2050,1210,2560,1600,510,390
3053,right-R2,2557,1494,2050,1210,2560,1600,510,390
3067,right-R2,2557,1546,2050,1210,2560,1600,510,390
3083,right-R2,2557,1597,146,0,656,390,510,390
3098,bottom-R2,2506,1597,532,81,1042,471,510,390
3113,bottom-R2,2455,1597,1291,517,1801,907,510,390
3129,bottom-R2,2404,1597,1616,717,2126,1107,510,390
3144,bottom-R2,2353,1597,1983,1033,2493,1423,510,390
3159,bottom-R2,2302,1597,1983,1033,2493,1423,510,390
3175,bottom-R2,2251,1597,2033,1101,2543,1491,510,390
3191,bottom-R2,2199,1597,1944,1138,2454,1528,510,390
3206,bottom-R2,2148,1597,1893,1138,2403,1528,510,390
3233,bottom-R2,2097,1597,1893,1138,2403,1528,510,390
3251,bottom-R2,2046,1597,1791,1138,2301,1528,510,390
3267,bottom-R2,1995,1597,1740,1138,2250,1528,510,390
3283,bottom-R2,1944,1597,1689,1138,2199,1528,510,390
3299,bottom-R2,1893,1597,1638,1138,2148,1528,510,390
3314,bottom-R2,1842,1597,1587,1138,2097,1528,510,390
3329,bottom-R2,1791,1597,1536,1138,2046,1528,510,390
3345,bottom-R2,1740,1597,1485,1138,1995,1528,510,390
3360,bottom-R2,1689,1597,1434,1138,1944,1528,510,390
3376,bottom-R2,1638,1597,1383,1138,1893,1528,510,390
3391,bottom-R2,1586,1597,1331,1138,1841,1528,510,390
3406,bottom-R2,1535,1597,1280,1138,1790,1528,510,390
3422,bottom-R2,1484,1597,1229,1138,1739,1528,510,390
3437,bottom-R2,1433,1597,1178,1138,1688,1528,510,390
3452,bottom-R2,1382,1597,1127,1138,1637,1528,510,390
3467,bottom-R2,1331,1597,1076,1138,1586,1528,510,390
3483,bottom-R2,1280,1597,1025,1138,1535,1528,510,390
3499,bottom-R2,1229,1597,974,1138,1484,1528,510,390
3514,bottom-R2,1178,1597,923,1138,1433,1528,510,390
3530,bottom-R2,1127,1597,872,1138,1382,1528,510,390
3545,bottom-R2,1076,1597,821,1138,1331,1528,510,390
3561,bottom-R2,1025,1597,770,1138,1280,1528,510,390
3576,bottom-R2,974,1597,719,1138,1229,1528,510,390
3591,bottom-R2,922,1597,667,1138,1177,1528,510,390
3607,bottom-R2,871,1597,616,1138,1126,1528,510,390
3622,bottom-R2,820,1597,565,1138,1075,1528,510,390
3638,bottom-R2,769,1597,514,1138,1024,1528,510,390
3652,bottom-R2,718,1597,463,1138,973,1528,510,390
3683,bottom-R2,667,1597,412,1138,922,1528,510,390
3713,bottom-R2,616,1597,361,1138,871,1528,510,390
3729,bottom-R2,565,1597,310,1138,820,1528,510,390
3745,bottom-R2,514,1597,310,1138,820,1528,510,390
3777,bottom-R2,463,1597,208,1138,718,1528,510,390
3792,bottom-R2,412,1597,157,1138,667,1528,510,390
3822,bottom-R2,361,1597,106,1138,616,1528,510,390
3837,bottom-R2,309,1597,106,1138,616,1528,510,390
3853,bottom-R2,258,1597,3,1138,513,1528,510,390
3868,bottom-R2,207,1597,3,1138,513,1528,510,390
3884,bottom-R2,156,1597,0,1138,510,1528,510,390
3900,bottom-R2,105,1597,0,1138,510,1528,510,390
3914,bottom-R2,54,1597,0,1138,510,1528,510,390
3931,bottom-R2,3,1597,0,0,510,390,510,390
3946,left-R2,3,1546,0,1600,510,1990,510,390
3962,left-R2,3,1494,0,1555,510,1945,510,390
3977,left-R2,3,1443,0,1555,510,1945,510,390
3992,left-R2,3,1391,0,1256,510,1646,510,390
4009,left-R2,3,1340,0,1256,510,1646,510,390
4023,left-R2,3,1288,0,1221,510,1611,510,390
4039,left-R2,3,1237,0,1221,510,1611,510,390
4054,left-R2,3,1186,-510,991,0,1381,510,390
4070,left-R2,3,1134,-510,991,0,1381,510,390
4086,left-R2,3,1083,-176,991,334,1381,510,390
4101,left-R2,3,1031,-176,991,334,1381,510,390
4116,left-R2,3,980,-510,785,0,1175,510,390
4132,left-R2,3,929,-510,785,0,1175,510,390
4148,left-R2,3,877,-346,785,164,1175,510,390
4163,left-R2,3,826,0,1210,510,1600,510,390
4179,left-R2,3,774,0,1210,510,1600,510,390
4195,left-R2,3,723,0,1210,510,1600,510,390
4211,left-R2,3,671,0,1210,510,1600,510,390
4226,left-R2,3,620,-510,425,0,815,510,390
4242,left-R2,3,569,-510,425,0,815,510,390
4258,left-R2,3,517,-510,322,0,712,510,390
4273,left-R2,3,466,-510,322,0,712,510,390
4288,left-R2,3,414,0,785,510,1175,510,390
4304,left-R2,3,363,0,785,510,1175,510,390
4320,left-R2,3,312,0,785,510,1175,510,390
4335,left-R2,3,260,0,785,510,1175,510,390
4350,left-R2,3,209,0,785,510,1175,510,390
4367,left-R2,3,157,0,785,510,1175,510,390
4381,left-R2,3,106,0,-390,510,0,510,390
4398,left-R2,3,54,0,-390,510,0,510,390
4412,left-R2,3,3,0,322,510,712,510,390
