ms,seg,mouseX,mouseY,L,T,R,B,W,H
2564,bottom2left-R2,820,1310,965,-528,1595,-18,630,510
2580,bottom2left-R2,769,1278,965,-528,1595,-18,630,510
2611,bottom2left-R2,718,1246,965,-528,1595,-18,630,510
2627,bottom2left-R2,667,1214,965,-528,1595,-18,630,510
2642,bottom2left-R2,616,1183,965,-528,1595,-18,630,510
2657,bottom2left-R2,565,1151,965,-528,1595,-18,630,510
2672,bottom2left-R2,514,1119,965,-528,1595,-18,630,510
2688,bottom2left-R2,463,1087,965,-528,1595,-18,630,510
2704,bottom2left-R2,412,1055,965,-528,1595,-18,630,510
2719,bottom2left-R2,361,1023,965,-528,1595,-18,630,510
2735,bottom2left-R2,309,991,965,-528,1595,-18,630,510
2750,bottom2left-R2,258,959,965,-528,1595,-18,630,510
2766,bottom2left-R2,207,928,965,-528,1595,-18,630,510
2781,bottom2left-R2,156,896,965,-528,1595,-18,630,510
2797,bottom2left-R2,105,864,965,-528,1595,-18,630,510
2812,bottom2left-R2,54,832,965,-528,1595,-18,630,510
2827,bottom2left-R2,3,800,965,-528,1595,-18,630,510
2843,left2top-R2,54,768,965,-528,1595,-18,630,510
2858,left2top-R2,105,736,965,-528,1595,-18,630,510
2874,left2top-R2,156,704,965,-528,1595,-18,630,510
2890,left2top-R2,207,672,965,-528,1595,-18,630,510
2905,left2top-R2,258,641,965,-528,1595,-18,630,510
2920,left2top-R2,309,609,965,-528,1595,-18,630,510
2936,left2top-R2,361,577,965,-528,1595,-18,630,510
2951,left2top-R2,412,545,965,-528,1595,-18,630,510
2967,left2top-R2,463,513,965,-528,1595,-18,630,510
2982,left2top-R2,514,481,965,-528,1595,-18,630,510
2999,left2top-R2,565,449,965,-528,1595,-18,630,510
3014,left2top-R2,616,417,965,-528,1595,-18,630,510
3030,left2top-R2,667,386,965,-528,1595,-18,630,510
3046,left2top-R2,718,354,965,-528,1595,-18,630,510
3061,left2top-R2,769,322,965,-528,1595,-18,630,510
3077,left2top-R2,820,290,965,-528,1595,-18,630,510
3092,left2top-R2,871,258,965,-528,1595,-18,630,510
3108,left2top-R2,922,226,965,-528,1595,-18,630,510
3123,left2top-R2,974,194,965,-528,1595,-18,630,510
3138,left2top-R2,1025,162,965,-528,1595,-18,630,510
3154,left2top-R2,1076,131,965,-528,1595,-18,630,510
3170,left2top-R2,1127,99,965,-528,1595,-18,630,510
3185,left2top-R2,1178,67,965,-528,1595,-18,630,510
3201,left2top-R2,1229,35,965,-528,1595,-18,630,510
3216,left2top-R2,1280,3,965,-528,1595,-18,630,510
